#transitid  obstime  fluxbpint  fluxbpinterror  fluxrpint  fluxrpinterror  bpimagequality  rpimagequality  nu  dnu  flagspe  provenance  run  apflags  obsobmt  bpwinal  bpwinac  rpwinal  rpwinac
109444125490995750 2019-03-31T01:57:22.000000 41393.8 97.2293 18776.1 65.6719 6.1787 8.90201 0.0017784 8.9623e-07 1 379322 4365 0 171006443863631154 14631 38 22462 94
99486352439522968 2018-10-02T00:10:04.000000 39279.4 94.7757 18204.3 64.7958 6.44984 8.33308 0.00177251 9.55857e-07 1 355056 4137 0 -9999 -9999 -9999 -9999 -9999
99490444725773030 2018-10-02T01:56:39.000000 41019.4 96.801 18490.7 65.2016 6.29735 8.65892 0.00176721 8.97096e-07 1 355045 4137 0 -9999 -9999 -9999 -9999 -9999
106689958219895122 2019-02-09T06:41:06.000000 40581.7 96.4246 18515.7 65.3449 5.91629 8.13116 0.00175692 9.33248e-07 1 372048 4302 0 166703057503257827 14639 49 22424 88
106694050506131212 2019-02-09T08:27:40.000000 40439.4 96.1372 18064.1 64.6407 6.1047 8.94425 0.00178738 9.48532e-07 1 372039 4302 0 166709451699990251 14660 50 22348 47
108421026240313032 2019-03-12T13:56:32.000000 40062.7 95.7417 18437.2 65.2389 6.39121 9.22511 0.00176189 9.12416e-07 1 376764 4337 0 169407851285576739 14672 -36 22299 -75
96611639288292820 2018-08-11T00:20:44.000000 40064.2 95.6475 18578.9 65.4106 6.0673 8.19205 0.00176311 9.16931e-07 1 348046 4079 0 150955684172419140 14635 -38 22442 -3
98287700805219297 2018-09-10T07:52:25.000000 39699.5 95.1975 18540.0 65.2939 6.13446 9.28366 0.00174916 8.90678e-07 0 352578 4112 0 153574530292514927 14623 45 22487 121
116961438700323377 2019-08-14T00:43:49.000000 40266.5 95.9243 18365.3 65.1066 5.97299 8.93434 0.00177766 9.39926e-07 1 401067 4556 0 182752245753655626 14651 -37 22379 -39
118785526016382856 2019-09-16T00:30:41.000000 37144.6 92.1968 18043.1 64.5587 6.15349 9.91641 0.0017451 9.76203e-07 1 406275 4597 0 185602382185070806 14692 45 22168 -35
119795857949868609 2019-10-04T07:03:41.000000 39252.4 94.6742 18293.8 64.9602 5.90369 7.98593 0.00174575 9.70689e-07 1 408531 4621 0 187181025831402253 14652 -27 22376 -25
129321875918615577 2020-03-24T13:27:49.000000 39342.6 94.9286 18557.6 65.3506 5.64415 9.0334 0.00174437 8.98925e-07 1 433310 4820 0 202065428906814029 14623 -21 22487 43
169963529921521474 2022-03-29T13:03:39.000000 38906.6 94.2955 18390.8 65.0933 6.13153 8.27133 0.00174327 9.31854e-07 1 538889 5863 0 265568013286853593 14635 -18 22434 17
127382766113038568 2020-02-18T11:55:01.000000 39120.1 94.5022 18353.5 65.0197 5.99234 9.54808 0.00175856 9.0036e-07 1 428164 4781 0 199035569836135262 14673 53 22286 20
130051115164123620 2020-04-06T17:56:54.000000 39399.8 94.8534 18321.4 64.998 5.84858 8.14534 0.00175943 9.64859e-07 1 434998 4834 0 203204865228815826 14649 25 22377 36
147143032123598498 2021-02-09T20:26:24.000000 38593.4 93.8969 18316.5 64.9802 5.97478 9.61365 0.00175617 9.13564e-07 1 478735 5320 0 229910985477945565 14682 51 22243 0
129308042847360184 2020-03-24T07:27:36.000000 38099.4 93.3553 18166.9 64.7031 6.06023 10.1021 0.0017827 9.5365e-07 1 433360 4820 0 202043814733797545 14693 -21 22193 -102
170493195037243034 2022-04-08T02:55:57.000000 39155.2 94.5884 18425.7 65.1411 6.03007 9.15999 0.00174877 9.05513e-07 1 540208 5874 0 266395615029655766 14623 23 22475 87
139935329098036977 2020-10-02T12:08:57.000000 37991.6 93.1662 18217.9 64.7369 5.46742 8.22881 0.00173509 9.25323e-07 1 462155 5123 0 218648949500535047 14626 -27 22470 30
176621853634917336 2022-07-27T22:58:12.000000 38799.1 94.2099 18393.1 65.0605 6.07946 8.76682 0.0017486 9.02052e-07 1 556003 6000 0 275971644088918694 14620 34 22488 108
170507028155113971 2022-04-08T08:56:09.000000 38995.8 94.3571 18491.0 65.2975 6.19973 9.42322 0.00175629 9.0263e-07 1 540228 5874 0 266417229276977232 14675 26 22276 -14
