#transitid, obstime, fluxbpint, fluxbpinterror, fluxrpint, fluxrpinterror, bpimagequality, rpimagequality, nu, dnu, flagspe, provenance, run, apflags, obsobmt, bpwinal, bpwinac, rpwinal, rpwinac
93078772373968785,2018-06-08T02:58:55.000000,12465.7,54.6104,17613.5,63.7729,4.41878,10.2306,0.00149902,1.1028e-06,0,339351,4001,0,145435579619098374,14650,-38,22395,-32
94746720129414912,2018-07-08T06:59:10.000000,12293.8,53.4645,17316.9,63.1768,4.4113,10.9165,0.00149464,1.04869e-06,1,342791,4034,0,148041747986824824,14625,45,22469,112
94750812428751517,2018-07-08T08:45:44.000000,13143.5,55.5867,18363.3,65.0727,4.57686,10.5184,0.00149732,1.07824e-06,1,342949,4035,0,148048142203695286,14641,45,22418,79
96032392441513072,2018-07-31T13:03:07.000000,12395.4,53.8803,17570.1,63.7078,4.27211,9.93204,0.00149042,1.12051e-06,1,347054,4069,0,150050610974824282,14653,-26,22361,-31
96036484748341596,2018-07-31T14:49:41.000000,12351.8,53.5853,17833.5,64.0996,4.4891,11.0543,0.00148418,1.01001e-06,1,347044,4069,0,150057005203830711,14620,-26,22496,45
103277191385998912,2018-12-09T13:27:11.000000,12657.3,54.2782,17830.8,64.0532,4.08849,10.1852,0.00150339,1.05801e-06,1,364058,4232,0,161370609325213938,14635,48,22438,96
103281283677733809,2018-12-09T15:13:45.000000,12594.1,54.2856,17748.5,64.0398,4.27918,11.0938,0.00150762,1.08792e-06,1,363996,4232,0,161377003530535438,14654,49,22370,56
104962749259993901,2019-01-09T00:57:39.000000,12739.2,54.6961,17807.9,64.0728,4.04486,9.95898,0.00149664,1.08453e-06,1,367711,4263,0,164004293504087537,14639,-39,22412,-19
113868646838186615,2019-06-19T02:23:20.000000,12406.6,53.9071,17702.5,63.9278,4.17911,10.4361,0.00148597,1.09393e-06,1,391448,4478,0,177919758469715667,14659,-39,22326,-64
116236767751442643,2019-07-31T22:18:43.000000,11905.6,52.7767,17847.3,64.1778,4.29617,11.1849,0.00148533,1.0903e-06,1,398279,4529,0,181619947396514438,14682,-28,22222,-96
116240860048315385,2019-08-01T00:05:18.000000,12736.3,54.7663,17973.7,64.4003,4.29919,10.7239,0.00151144,1.07747e-06,1,398338,4529,0,181626341609863236,14644,-29,22413,-10
156325131279451683,2021-07-25T21:45:51.000000,12352.5,53.6735,17379.6,63.3781,4.14923,10.6838,0.00150135,1.1099e-06,1,501903,5580,0,244258015408235318,14657,31,22357,28
166440162627446512,2022-01-24T19:49:49.000000,12445.5,53.8402,17778.1,63.9577,4.34966,10.2517,0.00148774,1.05169e-06,1,529007,5786,0,260062751890619001,14636,-25,22435,9
145429593979806571,2021-01-09T20:41:31.000000,12814.2,54.6164,18087.1,64.4867,4.25202,11.0174,0.00150052,1.03902e-06,1,474122,5286,0,227233738377879842,14632,-38,22455,3
136199236676273016,2020-07-26T22:34:11.000000,12470.8,53.9034,17605.4,63.7577,4.14929,10.6949,0.00150872,1.10339e-06,1,451812,5021,0,212811305091511422,14654,34,22370,39
167090143799178878,2022-02-05T13:55:04.000000,11983.9,52.8034,17417.8,63.3392,4.20399,10.9798,0.00148811,1.04069e-06,1,530223,5799,0,261078347470772217,14623,29,22471,96
145425501694862705,2021-01-09T18:54:57.000000,12037.4,52.9212,17213.3,63.0126,4.21731,10.5374,0.00148132,1.06777e-06,1,474153,5286,0,227227344182723458,14678,-38,22247,-97
136195144399607338,2020-07-26T20:47:36.000000,12624.4,54.5217,18272.2,64.9554,3.8835,10.1029,0.00148092,1.08774e-06,1,451940,5021,0,212804910908628947,14646,34,22399,57
