#transitid, bp samples (60), rp samples (60)
108409490245853306,[1436 1436 1442 1437 1436 1435 1437 1436 1439 1440 1446 1442 1449 1456
 1468 1512 1667 1846 1878 1889 1890 1898 1853 1837 1814 1798 1773 1750
 1723 1709 1680 1668 1650 1628 1614 1597 1576 1552 1532 1503 1484 1477
 1472 1465 1469 1468 1458 1459 1458 1464 1452 1448 1452 1443 1436 1436
 1436 1435 1434 1437],[2371 2368 2366 2369 2374 2374 2377 2375 2375 2379 2395 2410 2460 2505
 2519 2545 2556 2546 2560 2562 2562 2569 2577 2583 2592 2567 2586 2581
 2601 2584 2586 2581 2588 2593 2578 2577 2573 2580 2559 2546 2543 2515
 2505 2494 2479 2458 2444 2426 2411 2403 2394 2389 2379 2375 2373 2373
 2373 2376 2372 2368]
108419231093911752,[1518 1519 1518 1525 1522 1520 1523 1522 1521 1522 1529 1529 1535 1538
 1581 1752 1928 1970 2008 1978 1972 1926 1933 1916 1890 1856 1837 1812
 1786 1765 1742 1724 1698 1682 1656 1625 1601 1585 1571 1570 1566 1562
 1562 1556 1547 1544 1541 1536 1535 1530 1525 1522 1521 1523 1516 1517
 1521 1518 1521 1518],[2244 2242 2237 2250 2248 2243 2245 2245 2244 2242 2250 2257 2264 2272
 2317 2358 2405 2429 2412 2439 2441 2444 2451 2454 2462 2454 2463 2478
 2489 2470 2482 2490 2471 2475 2458 2487 2461 2460 2461 2432 2426 2414
 2399 2380 2354 2344 2333 2299 2284 2271 2277 2257 2249 2247 2253 2243
 2245 2243 2238 2243]
110366871768428805,[1514 1516 1512 1518 1515 1518 1515 1519 1521 1526 1528 1531 1541 1611
 1804 1942 1986 1999 1975 1960 1945 1928 1886 1881 1849 1834 1805 1768
 1768 1734 1706 1682 1676 1650 1618 1590 1562 1567 1560 1557 1559 1549
 1547 1540 1541 1527 1530 1522 1522 1517 1522 1515 1515 1514 1511 1509
 1516 1515 1514 1514],[2235 2236 2235 2235 2240 2240 2237 2245 2253 2273 2310 2355 2382 2407
 2408 2419 2428 2439 2442 2430 2443 2460 2459 2465 2463 2462 2467 2466
 2470 2468 2463 2466 2459 2446 2446 2426 2434 2404 2381 2355 2350 2326
 2310 2304 2279 2268 2254 2250 2242 2241 2238 2238 2238 2238 2235 2235
 2233 2238 2233 2234]
110370964038149742,[1624 1623 1622 1628 1625 1625 1624 1632 1631 1628 1631 1633 1641 1640
 1650 1672 1755 1964 2094 2091 2095 2073 2071 2051 2029 2005 1996 1974
 1934 1904 1896 1869 1852 1831 1808 1794 1758 1740 1717 1686 1677 1681
 1676 1671 1667 1662 1656 1651 1654 1649 1639 1633 1626 1625 1624 1625
 1626 1622 1622 1623],[2342 2341 2340 2341 2345 2346 2349 2342 2364 2365 2400 2451 2497 2514
 2530 2540 2549 2542 2537 2557 2592 2572 2556 2558 2578 2588 2574 2577
 2574 2573 2564 2576 2574 2557 2573 2544 2532 2508 2496 2496 2469 2457
 2432 2424 2405 2390 2377 2356 2353 2344 2347 2338 2340 2340 2336 2340
 2338 2340 2337 2336]
112692375683375307,[1453 1453 1456 1454 1457 1459 1461 1455 1468 1467 1464 1469 1488 1492
 1581 1787 1887 1907 1898 1889 1880 1872 1846 1809 1802 1780 1760 1737
 1715 1677 1687 1660 1639 1629 1603 1576 1564 1536 1516 1500 1504 1492
 1489 1489 1487 1473 1480 1481 1470 1468 1460 1455 1465 1450 1452 1458
 1453 1451 1455 1452],[2405 2396 2399 2405 2406 2402 2398 2409 2409 2431 2440 2486 2535 2561
 2560 2551 2588 2583 2595 2593 2602 2617 2617 2610 2616 2626 2616 2619
 2630 2623 2629 2620 2608 2625 2604 2612 2608 2573 2559 2567 2554 2531
 2499 2502 2496 2476 2458 2445 2424 2416 2410 2398 2406 2396 2397 2401
 2399 2398 2395 2400]
112702116573623703,[1556 1555 1556 1558 1552 1554 1559 1560 1558 1557 1559 1561 1566 1577
 1574 1628 1802 1962 1986 1970 1976 1976 1933 1940 1922 1904 1874 1849
 1844 1812 1793 1787 1770 1737 1732 1708 1689 1667 1637 1617 1605 1586
 1589 1582 1588 1583 1579 1565 1571 1574 1572 1561 1553 1559 1550 1554
 1548 1553 1546 1548],[2607 2607 2605 2608 2605 2608 2609 2603 2607 2604 2609 2608 2607 2612
 2621 2622 2624 2621 2618 2625 2624 2625 2627 2630 2820 2829 2826 2829
 2836 2824 2821 2822 2824 2826 2827 2828 2818 2812 2807 2803 2790 2780
 2771 2761 2742 2724 2700 2686 2679 2668 2644 2641 2627 2626 2620 2612
 2613 2614 2615 2613]
112706208857249181,[1659 1651 1656 1657 1662 1662 1662 1664 1676 1662 1665 1664 1669 1674
 1691 1705 1787 1989 2125 2116 2135 2119 2093 2075 2052 2036 2036 2001
 1972 1958 1915 1919 1894 1870 1857 1833 1819 1780 1763 1729 1719 1713
 1698 1708 1705 1692 1704 1690 1691 1686 1678 1670 1670 1661 1658 1657
 1660 1658 1657 1654],[2486 2495 2490 2491 2491 2488 2493 2500 2502 2512 2525 2558 2608 2642
 2674 2663 2677 2669 2683 2688 2698 2702 2687 2704 2712 2711 2722 2719
 2726 2724 2705 2722 2693 2707 2715 2691 2679 2681 2655 2643 2628 2601
 2597 2578 2564 2542 2536 2517 2506 2499 2493 2493 2493 2490 2486 2489
 2492 2492 2488 2486]
112720041882088400,[1518 1521 1517 1513 1522 1525 1524 1524 1531 1538 1556 1587 1769 1967
 1988 2000 1993 1965 1968 1925 1914 1894 1848 1846 1809 1790 1778 1752
 1720 1708 1677 1651 1625 1601 1584 1565 1573 1559 1559 1556 1556 1549
 1542 1540 1534 1533 1524 1524 1518 1517 1517 1514 1518 1514 1514 1519
 1518 1515 1517 1514],[2243 2248 2245 2247 2248 2255 2248 2253 2265 2278 2297 2349 2400 2411
 2427 2434 2443 2453 2468 2464 2459 2473 2471 2481 2461 2491 2473 2488
 2489 2490 2469 2469 2466 2455 2472 2456 2433 2402 2407 2380 2365 2350
 2341 2307 2293 2280 2267 2263 2252 2248 2247 2248 2245 2246 2244 2242
 2239 2245 2240 2242]
112729782566023801,[1571 1566 1574 1573 1569 1575 1575 1575 1582 1583 1586 1589 1607 1685
 1907 2028 2042 2029 2022 1993 1968 1968 1938 1919 1902 1874 1841 1832
 1812 1789 1755 1746 1730 1697 1654 1644 1634 1629 1606 1606 1612 1605
 1604 1592 1597 1591 1583 1586 1580 1573 1578 1570 1576 1572 1564 1568
 1560 1562 1569 1566],[2248 2239 2245 2245 2248 2248 2249 2248 2249 2252 2265 2301 2329 2383
 2401 2445 2432 2445 2440 2450 2449 2448 2468 2470 2464 2475 2476 2480
 2495 2479 2491 2465 2475 2472 2446 2470 2442 2428 2422 2406 2398 2378
 2353 2343 2319 2300 2286 2269 2273 2252 2243 2255 2246 2251 2244 2244
 2240 2243 2242 2242]
99584995345339926,[1491 1493 1493 1493 1493 1495 1499 1498 1498 1505 1509 1529 1569 1711
 1868 1915 1907 1892 1893 1872 1857 1846 1826 1804 1798 1759 1764 1727
 1718 1703 1682 1669 1651 1627 1612 1599 1579 1553 1539 1539 1536 1526
 1526 1532 1522 1521 1513 1523 1514 1504 1502 1498 1491 1490 1491 1489
 1490 1491 1489 1491],[2392 2391 2395 2401 2394 2396 2398 2400 2407 2412 2427 2446 2478 2503
 2547 2554 2570 2576 2562 2581 2594 2586 2589 2585 2590 2613 2611 2614
 2605 2603 2604 2601 2618 2599 2610 2598 2595 2579 2580 2550 2557 2544
 2520 2514 2503 2485 2469 2454 2446 2428 2423 2416 2403 2401 2399 2395
 2392 2391 2392 2389]
113144749398586794,[1543 1547 1538 1545 1536 1540 1540 1545 1547 1551 1548 1556 1556 1581
 1705 1913 1982 1998 2019 1995 1979 1939 1940 1918 1883 1863 1830 1819
 1801 1764 1746 1731 1711 1708 1661 1625 1608 1605 1587 1583 1583 1578
 1566 1569 1559 1554 1557 1556 1550 1549 1539 1539 1537 1539 1534 1543
 1541 1539 1539 1532],[2249 2244 2249 2250 2245 2257 2265 2292 2340 2392 2405 2433 2417 2437
 2440 2438 2463 2456 2468 2470 2468 2460 2486 2473 2472 2463 2470 2479
 2485 2456 2479 2456 2437 2436 2416 2417 2390 2371 2357 2342 2319 2315
 2280 2271 2257 2255 2250 2247 2251 2244 2244 2242 2242 2244 2242 2241
 2241 2246 2238 2241]
113158582337819669,[1652 1654 1655 1654 1656 1657 1660 1656 1666 1670 1672 1683 1755 1978
